Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.922480620155,0.829787234043,0.907975460123,0.959183673469,0.738805970149,0.778389538885,0.789644970414,0.957219251337,0.823660714286,0.731281850255,0.76404494382,0.69696969697,0.818820224719,0.827956989247,1.0,0.886567164179,1.0,0.35041716329,0.953798767967,0.813559322034,0.964912280702,1.0,1.0,0.776844631074,0.705882352941,0.973607038123,0.70098224405,0.867789890981,0.93329015544,0.941551897884,0.916759776536,0.611502347418,0.873246753247,0.966960352423,0.954002173126,0.873563218391,0.972139757936,0.668292682927,0.768707482993,0.807199511897,0.654320987654,0.891764705882,0.989090909091,0.891207153502,0.978494623656,0.731800766284,0.694653749551,0.885714285714,0.994983277592,0.904825737265,0.741935483871,1.0,0.716666666667,0.794871794872,0.846560846561,0.950680272109,0.837648705388,0.0,0.967365967366,1.0,0.805084745763,0.0,0.806578947368,0.903162055336,0.964157706093,0.811965811966,0.69656019656,0.874586001325,0.891862955032,0.778837555887,0.915225994584,1.0,0.990675990676,0.913725490196,0.808957952468,1.0,0.687848383501,0.897084048027,0.860046457607,0.841954022989,0.941935483871,0.647014645137,0.986111111111,0.711049037865,0.977777777778
1-SPFN,0.457692307692,0.806896551724,0.605729877217,0.132115249473,0.578947368421,0.62417218543,0.772503617945,0.957219251337,0.821826280624,0.625062824594,0.150776053215,0.618279569892,0.794277929155,0.669565217391,0.4140969163,0.302752293578,1.0,0.23786407767,0.392645815723,0.585365853659,0.959302325581,1.0,1.0,0.703040173724,0.715596330275,0.97503671072,0.644830582103,0.806707204717,0.927284427284,0.926611570248,0.62585812357,0.46545562835,0.83012345679,0.918410041841,0.918410041841,0.868571428571,0.971474212688,0.652380952381,0.798586572438,0.784697508897,0.59217877095,0.88344988345,0.979591836735,0.875549048316,0.974130240856,0.743190661479,0.485578128919,0.238461538462,0.355436081243,0.803571428571,0.26558891455,1.0,0.126099706745,0.446043165468,0.268456375839,0.930116472546,0.694718514219,0.0,0.967365967366,1.0,0.592269326683,0.0,0.739445114596,0.902270483712,0.964157706093,0.660377358491,0.590625,0.665490591398,0.884758364312,0.383475198122,0.853867081228,1.0,0.990675990676,0.913725490196,0.703497615262,0.0401891252955,0.416048550236,0.884940778342,0.83062254627,0.409217877095,0.941935483871,0.658387466565,0.411992263056,0.697412480974,0.977777777778
SP-Score,0.690086463924,0.818341892883,0.75685266867,0.545649461471,0.658876669285,0.701280862158,0.78107429418,0.957219251337,0.822743497455,0.678172337424,0.457410498518,0.657624633431,0.806549076937,0.748761103319,0.70704845815,0.594659728879,1.0,0.29414062048,0.673222291845,0.699462587846,0.962107303142,1.0,1.0,0.739942402399,0.710739341608,0.974321874421,0.672906413076,0.837248547849,0.930287291362,0.934081734066,0.771308950053,0.538478987884,0.851685105018,0.942685197132,0.936206107483,0.871067323481,0.971806985312,0.660336817654,0.783647027716,0.795948510397,0.623249879302,0.887607294666,0.984341372913,0.883378100909,0.976312432256,0.737495713881,0.590115939235,0.562087912088,0.675209679417,0.854198582918,0.50376219921,1.0,0.421383186706,0.62045748017,0.5575086112,0.940398372327,0.766183609804,0.0,0.967365967366,1.0,0.698677036223,0.0,0.773012030982,0.902716269524,0.964157706093,0.736171585228,0.64359259828,0.770038296361,0.888310659672,0.581156377004,0.884546537906,1.0,0.990675990676,0.913725490196,0.756227783865,0.520094562648,0.551948466868,0.891012413185,0.845334501939,0.625585950042,0.941935483871,0.652701055851,0.699051687084,0.704230759419,0.977777777778
TC,0.0,0.566666666667,0.552631578947,0.102941176471,0.355072463768,0.256578947368,0.335877862595,0.90625,0.710691823899,0.333333333333,0.0535714285714,0.427419354839,0.703846153846,0.512195121951,0.296703296703,0.266666666667,1.0,0.0878186968839,0.113333333333,0.382978723404,0.921348314607,1.0,1.0,0.43119266055,0.239436619718,0.854166666667,0.333333333333,0.445859872611,0.772321428571,0.709401709402,0.133757961783,0.144578313253,0.626262626263,0.882716049383,0.809278350515,0.786885245902,0.733333333333,0.541666666667,0.190476190476,0.632653061224,0.4,0.65625,0.937062937063,0.72268907563,0.896103896104,0.597701149425,0.202312138728,0.402877697842,0.381489841986,0.694444444444,0.0709677419355,1.0,0.0,0.339622641509,0.0416666666667,0.809523809524,0.514705882353,0.0,0.951048951049,1.0,0.292517006803,0.0,0.5,0.806094182825,0.862068965517,0.357142857143,0.376470588235,0.322314049587,0.70243902439,0.123287671233,0.601503759398,1.0,0.974683544304,0.859550561798,0.277777777778,0.0,0.00613496932515,0.810945273632,0.579710144928,0.195454545455,0.825396825397,0.290322580645,0.0112359550562,0.253246753247,0.955555555556
Modeler,0.922480620155,0.829787234043,0.907975460123,0.959183673469,0.738805970149,0.778389538885,0.789644970414,0.957219251337,0.823660714286,0.731281850255,0.76404494382,0.69696969697,0.818820224719,0.827956989247,1.0,0.886567164179,1.0,0.35041716329,0.953798767967,0.813559322034,0.964912280702,1.0,1.0,0.776844631074,0.705882352941,0.973607038123,0.70098224405,0.867789890981,0.93329015544,0.941551897884,0.916759776536,0.611502347418,0.873246753247,0.966960352423,0.954002173126,0.873563218391,0.972139757936,0.668292682927,0.768707482993,0.807199511897,0.654320987654,0.891764705882,0.989090909091,0.891207153502,0.978494623656,0.731800766284,0.694653749551,0.885714285714,0.994983277592,0.904825737265,0.741935483871,1.0,0.716666666667,0.794871794872,0.846560846561,0.950680272109,0.837648705388,0.0,0.967365967366,1.0,0.805084745763,0.0,0.806578947368,0.903162055336,0.964157706093,0.811965811966,0.69656019656,0.874586001325,0.891862955032,0.778837555887,0.915225994584,1.0,0.990675990676,0.913725490196,0.808957952468,1.0,0.687848383501,0.897084048027,0.860046457607,0.841954022989,0.941935483871,0.647014645137,0.986111111111,0.711049037865,0.977777777778
Compression,1.26946107784,1.03333333333,1.46116504854,3.44910179641,1.26490066225,1.46296296296,1.12587412587,1.0,1.01234567901,1.49074074074,2.35294117647,1.16535433071,1.06049822064,1.4,1.62585034014,2.0,1.0,1.41621621622,2.04635761589,1.33606557377,1.01111111111,1.0,1.0,1.20535714286,0.96,1.0,1.27105263158,1.26685393258,1.04081632653,1.05982905983,1.99459459459,1.76704545455,1.11111111111,1.05845511482,1.11374407583,1.01333333333,1.05454545455,1.04938271605,0.898148148148,1.06730769231,1.11594202899,1.02222222222,1.04109589041,1.048,1.02564102564,0.977528089888,1.78139534884,2.90972222222,1.72707889126,1.22368421053,1.88535031847,1.0,2.86885245902,1.66666666667,2.29921259843,1.11627906977,1.53571428571,2.36470588235,1.0,1.0,1.48026315789,2.72289156627,1.20353982301,1.0027100271,1.0,1.91428571429,1.39175257732,1.54545454545,1.02790697674,2.21088435374,1.24855491329,1.0,1.0,1.0,1.425,2.34825870647,2.22941176471,1.02926829268,1.16853932584,2.02641509434,1.0,1.0303030303,1.47598253275,1.2037037037,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
